applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
APP_00026,Retail,23,12740032,139813,3843612,684,0,0.42,5166633,Poor,0
APP_00027,Trading,15,24890485,281811,8773850,547,0,0.21,10606803,Good,0
APP_00028,Trading,3,27158609,422559,20313127,531,1,0.1,22911062,Good,0
APP_00029,Tech,19,42892022,367304,23475615,838,2,0.47,24476724,Good,0
APP_00030,Trading,22,1579600,13654,1095547,582,2,0.2,1119915,Average,0
APP_00031,Tech,6,21144716,210456,9447720,573,4,0.88,11475154,Good,0
APP_00032,Services,28,42022233,377659,9043623,692,4,0.16,8395326,Average,0
APP_00033,Trading,26,1303328,15665,448178,668,4,0.69,472538,Average,0
APP_00034,Services,12,15692217,177318,10273814,707,0,0.37,6080033,Good,0
APP_00035,Tech,5,23795179,201696,15657671,595,4,0.42,17471613,Average,0
APP_00036,Tech,10,4193305,67562,2099268,759,4,0.65,2342470,Poor,1
APP_00037,Manufacturing,28,33359007,454906,22703125,724,0,0.47,23738768,Poor,0
APP_00038,Manufacturing,1,47142343,748522,14966500,830,4,0.27,13129498,Good,0
APP_00039,Services,23,37817456,521793,16308323,537,2,0.33,10081231,Average,1
APP_00040,Services,29,34586263,500080,23590894,778,0,0.54,21785505,Good,0
APP_00041,Manufacturing,3,27848975,261708,9747416,754,4,0.29,11500437,Average,0
APP_00042,Manufacturing,17,13717648,172071,9545761,672,4,0.82,8488106,Good,1
APP_00043,Services,12,48411176,532246,37278405,659,4,0.17,41097239,Good,0
APP_00044,Tech,21,44862902,665950,12026791,709,4,0.5,6705642,Good,0
APP_00045,Services,23,31273482,444560,24430567,738,0,0.18,14270060,Average,0
APP_00046,Manufacturing,18,5962810,84783,1483602,699,4,0.29,1604226,Average,0
APP_00047,Tech,17,42369822,673572,23520896,782,2,0.72,24894616,Good,0
APP_00048,Services,7,35933922,375414,15923084,554,1,0.69,20177650,Average,0
APP_00049,Manufacturing,3,23021804,237413,10132672,565,0,0.28,14826354,Good,0
APP_00050,Retail,15,2725300,23696,2057018,645,3,0.16,2167797,Poor,1
APP_00051,Manufacturing,17,35927853,387569,28652420,560,0,0.83,41795354,Good,0
APP_00052,Tech,24,46703547,519833,14095501,802,3,0.47,12028427,Good,0
APP_00053,Manufacturing,4,8384479,101538,1839467,585,4,0.65,1218861,Poor,1
APP_00054,Trading,19,30433823,401006,22871198,489,1,0.85,31243517,Good,1
APP_00055,Manufacturing,22,12960255,214415,5521630,588,2,0.77,7389755,Good,0
APP_00056,Manufacturing,21,41304335,370141,25403348,793,4,0.9,38019586,Good,1
APP_00057,Retail,5,30913513,476492,10770541,543,2,0.32,7617224,Average,0
APP_00058,Tech,8,28673862,399420,14686311,635,2,0.52,19858558,Good,0
APP_00059,Services,25,39220111,483729,17740098,709,2,0.27,11289292,Good,0
APP_00060,Trading,2,7453757,96576,1897735,771,1,0.38,1924283,Average,0
APP_00061,Trading,19,44058992,715782,12699743,648,3,0.15,6932297,Average,0
APP_00062,Retail,11,7049546,72853,1730790,729,0,0.47,1877502,Good,0
APP_00063,Services,3,49066364,806777,27534141,711,1,0.32,18640902,Good,0
APP_00064,Retail,9,14281337,225432,3959486,597,1,0.65,2135398,Average,0
APP_00065,Services,16,11645552,123916,7962305,576,1,0.71,8211252,Average,1
APP_00066,Services,24,35361938,504894,26066136,707,2,0.53,15826628,Good,0
APP_00067,Services,15,48256479,510410,20575138,585,3,0.29,17343336,Good,0
APP_00068,Services,9,47023537,425923,24558697,541,1,0.55,26683894,Good,1
APP_00069,Manufacturing,5,16422693,259977,9271154,648,4,0.85,4705429,Good,0
APP_00070,Tech,11,42430173,454390,12899797,486,0,0.16,13215988,Good,0
APP_00071,Trading,20,3594235,57429,730276,649,2,0.76,889810,Good,0
APP_00072,Services,13,17112651,171850,13361496,695,3,0.44,13463182,Good,0
APP_00073,Manufacturing,26,9753517,104739,5352173,643,2,0.58,4652271,Good,0
APP_00074,Trading,12,42821932,601138,10821995,528,4,0.1,6673881,Good,0
APP_00075,Services,17,30467940,464793,23735017,687,0,0.26,20868505,Poor,1
APP_00076,Tech,29,2655748,26593,791926,589,4,0.25,582613,Average,0
APP_00077,Tech,25,9951244,131713,6068161,827,2,0.6,6309558,Good,0
APP_00078,Manufacturing,17,38938112,451514,20213338,610,4,0.83,22724602,Good,0
APP_00079,Services,7,29622503,418101,8887890,648,2,0.73,5792014,Good,0
APP_00080,Services,23,11250240,96895,6096885,755,1,0.5,7649367,Good,0
APP_00081,Tech,13,11188727,149552,5609725,548,3,0.68,6844069,Average,1
APP_00082,Tech,4,8226890,109625,5726567,900,1,0.37,4165224,Good,0
APP_00083,Services,12,24562169,324677,12367867,629,3,0.57,7448086,Poor,0
APP_00084,Retail,8,46637470,447929,25453472,654,1,0.16,14694825,Good,0
APP_00085,Services,23,17091661,176030,5115744,691,0,0.8,5212114,Good,0
APP_00086,Manufacturing,21,30875048,310186,20768839,611,1,0.37,18653920,Good,0
APP_00087,Trading,7,14257649,175943,10708532,605,2,0.21,7243111,Good,0
APP_00088,Retail,24,13466064,199802,4936016,658,1,0.11,5743239,Good,0
APP_00089,Manufacturing,20,36466581,565424,19000614,592,4,0.42,17609558,Average,0
APP_00090,Retail,17,23261900,267071,16328432,558,2,0.15,20827365,Good,0
APP_00091,Tech,17,44042641,549436,29033515,620,2,0.4,22377427,Average,0
APP_00092,Tech,18,33222310,459277,7184576,578,2,0.28,8419552,Good,0
APP_00093,Manufacturing,15,30322180,297800,17940046,614,2,0.87,25912776,Good,0
APP_00094,Trading,7,35893865,324692,11655877,627,2,0.2,16043662,Average,0
APP_00095,Trading,1,21732430,294250,8725994,604,3,0.76,7375141,Average,1
APP_00096,Trading,21,3766402,61155,2478908,758,0,0.79,2447751,Average,0
APP_00097,Trading,19,13609773,197533,8428634,514,2,0.44,5329224,Poor,1
APP_00098,Retail,11,43809893,698876,11857176,603,3,0.5,6725098,Good,0
APP_00099,Trading,12,14657398,135163,4162864,560,2,0.58,4581302,Average,0
APP_00100,Trading,13,43372208,512793,18644979,559,1,0.44,15920413,Poor,0
APP_00101,Services,21,40881731,603341,9850445,627,3,0.68,7852003,Good,0
APP_00102,Retail,24,18909209,162490,6757365,770,2,0.77,9098169,Poor,0
APP_00103,Trading,9,23208377,285122,9437227,545,4,0.65,8822177,Good,0
APP_00104,Trading,5,10547595,148958,3831805,471,1,0.18,3121375,Average,1
APP_00105,Retail,17,13643608,164406,4244250,756,4,0.71,5195400,Average,0
APP_00106,Trading,25,26441259,269085,20957363,661,4,0.64,11404272,Good,1
APP_00107,Trading,21,19656053,313757,4331556,541,1,0.44,5610845,Average,0
APP_00108,Services,18,29746906,453371,6609898,755,2,0.55,6484718,Average,0
APP_00109,Trading,23,12767883,167304,8712627,854,4,0.6,12075507,Average,0
APP_00110,Trading,23,38372354,598000,8164165,698,4,0.52,11748786,Average,0
APP_00111,Tech,29,7214301,65442,1605600,900,3,0.89,2036339,Good,0
APP_00112,Tech,5,19407101,162267,9322908,584,1,0.34,6839357,Good,0
APP_00113,Retail,14,25832296,238834,11236482,585,3,0.43,15496438,Poor,0
APP_00114,Retail,2,46816696,680150,11188808,730,3,0.77,8174198,Average,0
APP_00115,Trading,11,20484609,236271,4548385,701,0,0.51,4990824,Good,0
APP_00116,Trading,3,35883985,445914,28628295,769,2,0.75,20739498,Good,0
APP_00117,Manufacturing,9,18953059,249562,4830985,613,3,0.48,2629875,Average,0
APP_00118,Manufacturing,15,42223416,545687,10648410,708,3,0.4,8090169,Average,0
APP_00119,Trading,6,39141700,398000,23874685,301,4,0.83,25577402,Average,1
APP_00120,Retail,13,16090661,203984,11599700,562,3,0.78,15860202,Average,0
APP_00121,Retail,25,35784660,501027,20439010,585,2,0.87,19733251,Average,0
APP_00122,Trading,11,42913492,623500,12721959,698,3,0.54,15986869,Good,0
APP_00123,Retail,14,29763888,276765,12679928,610,1,0.45,16992644,Good,0
APP_00124,Retail,29,32956981,532043,20193778,582,1,0.86,13456681,Average,0
APP_00125,Trading,22,9661408,85175,2365273,591,2,0.2,2976135,Good,0
APP_00126,Manufacturing,6,18831726,285423,6619450,841,1,0.23,6411198,Poor,0
APP_00127,Retail,9,32170310,409373,22376138,733,3,0.62,17302561,Poor,1
APP_00128,Retail,15,49443187,575846,18023481,600,2,0.35,14792641,Average,0
APP_00129,Retail,3,38071568,524012,16032539,641,3,0.25,21942504,Average,0
APP_00130,Services,14,47847699,405852,32444505,761,3,0.13,46098705,Average,0
APP_00131,Manufacturing,14,20159206,189023,12324112,514,0,0.23,14191454,Good,1
APP_00132,Services,13,38964208,328474,9486542,618,1,0.48,10435391,Good,0
APP_00133,Manufacturing,1,7237320,62700,3534013,623,0,0.56,1831917,Good,0
APP_00134,Trading,8,42465471,686963,10338208,609,0,0.17,8793958,Good,0
APP_00135,Trading,6,22150278,221661,13642718,685,4,0.67,7252279,Poor,1
APP_00136,Manufacturing,18,42807399,611463,29153416,663,2,0.49,33841871,Good,0
APP_00137,Trading,22,13181730,114324,3933424,818,3,0.3,2594268,Average,0
APP_00138,Services,23,6652941,74119,2057560,603,4,0.63,2053847,Good,0
APP_00139,Services,22,18494276,307672,14515711,537,2,0.28,13331225,Good,0
APP_00140,Tech,17,38714493,632588,17403884,706,3,0.6,21499893,Average,0
APP_00141,Manufacturing,19,2863999,37901,623311,806,1,0.73,719930,Poor,1
APP_00142,Retail,12,38498210,520677,22288004,495,0,0.21,27098311,Poor,1
APP_00143,Trading,12,11860589,149504,5311393,639,3,0.42,5804919,Good,0
APP_00144,Manufacturing,27,3344664,38994,2390738,576,4,0.36,3044540,Good,0
APP_00145,Services,10,47730658,573573,19022271,845,0,0.44,14242245,Average,0
APP_00146,Manufacturing,22,49330419,567036,27788954,591,4,0.53,35619612,Average,0
APP_00147,Tech,27,11429084,98498,9052014,617,1,0.13,5631347,Good,0
APP_00148,Services,5,41555392,521947,9347624,604,1,0.42,9159709,Average,0
APP_00149,Trading,25,19173436,298453,9066042,439,3,0.53,5672998,Good,0
APP_00150,Trading,28,7189142,69637,2250269,900,4,0.46,3078688,Good,0
APP_00151,Manufacturing,23,42939798,695844,26191078,890,0,0.12,37478088,Average,0
APP_00152,Manufacturing,19,14997054,207319,6543494,644,4,0.56,5552636,Good,0
APP_00153,Manufacturing,1,3325896,55246,2166677,623,2,0.8,1958980,Good,0
APP_00154,Services,6,46673665,685435,31676865,599,2,0.8,27738551,Good,0
APP_00155,Manufacturing,21,22871392,260440,10010890,561,0,0.58,10468256,Good,0
APP_00156,Trading,11,42155138,410466,24683754,805,1,0.47,21716415,Average,0
APP_00157,Tech,21,5938684,66377,2542453,794,3,0.48,2273881,Good,0
APP_00158,Trading,12,10802330,136940,7490725,467,2,0.11,8595417,Average,1
APP_00159,Tech,11,22294866,196987,16958848,574,4,0.59,17350338,Average,0
APP_00160,Tech,3,12556199,137208,7109323,621,1,0.42,10498516,Average,0
APP_00161,Services,7,40197758,622869,27329195,591,0,0.55,20676251,Poor,0
APP_00162,Manufacturing,12,47204300,642431,36387057,560,4,0.81,26492680,Good,0
APP_00163,Trading,25,40864615,602734,21820978,564,2,0.78,25561631,Average,0
APP_00164,Tech,10,9389782,124149,2824526,544,2,0.8,2747958,Good,1
APP_00165,Retail,15,49875650,667957,26335263,594,4,0.15,16901297,Good,0
APP_00166,Retail,18,22906697,272627,14444016,513,0,0.11,12148717,Average,1
APP_00167,Trading,7,30555020,274847,7681377,539,0,0.59,7239006,Average,1
APP_00168,Tech,27,38132148,403929,21189546,578,2,0.53,17467257,Good,0
APP_00169,Trading,23,15431115,213700,8250555,623,3,0.17,12059553,Average,0
APP_00170,Manufacturing,23,20161007,236804,9145304,822,3,0.38,10653471,Average,0
APP_00171,Retail,23,37827195,622309,8019963,736,0,0.77,8188045,Average,0
APP_00172,Manufacturing,21,29870827,443588,18676639,726,3,0.34,14252377,Good,0
APP_00173,Trading,27,20601880,266760,7897001,539,3,0.8,5225952,Average,1
APP_00174,Tech,5,2294291,23105,1739891,434,1,0.53,1962510,Average,1
APP_00175,Services,16,38542630,419048,9579831,531,1,0.28,13960906,Good,0
APP_00176,Manufacturing,2,32818232,404581,12741239,614,0,0.59,16115243,Good,0
APP_00177,Services,9,25191736,349809,6878783,745,3,0.16,8782304,Good,0
APP_00178,Tech,18,33565406,458958,11063926,311,1,0.62,7213954,Good,0
APP_00179,Trading,10,37567096,331267,29937962,664,0,0.44,20078336,Good,0
APP_00180,Services,7,20520303,289270,11713625,616,3,0.9,15391354,Average,0
APP_00181,Tech,4,49533339,762819,31433385,606,4,0.38,32235081,Good,0
APP_00182,Retail,29,16305013,266834,5692865,782,2,0.43,7345718,Good,0
APP_00183,Trading,24,17938118,242007,7069416,691,4,0.74,10318354,Good,0
APP_00184,Manufacturing,28,23972522,290542,16939325,757,4,0.49,11011385,Good,0
APP_00185,Services,9,20713468,240703,9852735,678,0,0.18,11416286,Poor,0
APP_00186,Tech,16,20560188,219200,15588556,670,3,0.72,20656897,Good,0
APP_00187,Manufacturing,15,18332891,221617,13373397,589,0,0.7,15500242,Average,0
APP_00188,Manufacturing,5,37347763,540767,15385442,642,3,0.38,19611107,Average,0
APP_00189,Services,26,20452900,264117,14282682,637,3,0.82,18317324,Good,1
APP_00190,Trading,15,11504849,96873,4064065,578,3,0.72,4648901,Good,0
APP_00191,Trading,10,8399284,78759,4070307,646,3,0.23,2213170,Good,0
APP_00192,Manufacturing,25,4764423,56858,2208991,548,0,0.23,1709298,Poor,1
APP_00193,Manufacturing,24,35033268,375412,24157826,633,4,0.28,35714864,Average,0
APP_00194,Tech,11,32969247,424486,26072141,678,3,0.13,17333145,Good,0
APP_00195,Tech,27,45109118,559501,13099943,552,4,0.57,13209465,Good,0
APP_00196,Retail,7,48995982,766435,22551885,472,1,0.55,29582485,Average,0
APP_00197,Manufacturing,4,23813511,236935,17333613,520,4,0.69,19344059,Good,1
APP_00198,Retail,9,32074515,407388,22735335,757,1,0.13,28322174,Good,0
APP_00199,Retail,25,28433715,314413,8226807,722,4,0.2,7283816,Average,0
APP_00200,Services,26,4368452,60540,878617,612,4,0.12,585936,Good,0
APP_00201,Tech,17,43781526,683817,22156334,596,1,0.55,23500339,Average,0
APP_00202,Trading,19,18520510,157876,7283464,680,2,0.15,6076144,Average,0
APP_00203,Retail,4,7561183,95793,3206528,686,0,0.17,2310662,Good,0
APP_00204,Services,25,48768283,528096,14829851,592,3,0.5,10058383,Average,0
APP_00205,Tech,11,24600710,322243,13595868,601,1,0.23,16318467,Good,0
APP_00206,Retail,6,11038832,177505,7391040,538,2,0.31,6871130,Average,1
APP_00207,Retail,20,25274704,302281,19269737,740,1,0.83,24669369,Good,1
APP_00208,Tech,12,44970459,524219,33888561,792,0,0.87,19281168,Good,0
APP_00209,Tech,7,43395286,689353,15176534,741,1,0.78,11657687,Good,0
APP_00210,Tech,18,1305113,16988,531901,569,1,0.43,450702,Average,0
APP_00211,Services,20,13334263,173364,10161954,639,0,0.5,15035127,Good,0
APP_00212,Trading,5,12655863,141140,4875282,589,4,0.59,4141583,Good,0
APP_00213,Retail,4,4651785,42208,2838763,687,4,0.79,3471279,Good,0
APP_00214,Manufacturing,17,15640449,140988,7428906,653,0,0.44,4761628,Average,0
APP_00215,Trading,10,39887233,618912,18990206,565,3,0.38,28068698,Average,0
APP_00216,Retail,20,9476766,138868,6183254,750,4,0.63,4090963,Good,0
APP_00217,Manufacturing,8,3139929,45809,1679197,561,2,0.83,1744184,Good,0
APP_00218,Tech,23,41745272,486117,10688659,661,4,0.87,7522319,Good,0
APP_00219,Tech,5,41656180,455562,24394058,374,3,0.23,27162128,Good,0
APP_00220,Trading,11,30784261,292633,9888194,756,4,0.69,13056148,Good,0
APP_00221,Services,9,29398827,426216,11518463,649,4,0.63,13069669,Good,0
APP_00222,Trading,27,26198550,246665,16036567,680,2,0.52,19554246,Average,0
APP_00223,Retail,3,37932795,587382,26228180,830,3,0.89,36753444,Average,0
APP_00224,Retail,24,42751489,648132,31118515,685,1,0.3,19073882,Good,0
APP_00225,Retail,3,6285267,99797,4046472,694,0,0.77,3930286,Poor,0
APP_00226,Manufacturing,20,21630108,302132,8545242,528,3,0.65,5700804,Average,1
APP_00227,Services,4,30614233,385906,11730957,752,3,0.8,14852151,Average,0
APP_00228,Trading,19,4558848,71202,912284,518,2,0.19,863983,Good,0
APP_00229,Services,19,35075901,526826,17097468,645,1,0.87,10727873,Average,0
APP_00230,Services,3,17516233,248046,12325762,619,4,0.87,15119654,Good,0
APP_00231,Manufacturing,28,43832370,684060,11727273,686,0,0.29,6009102,Good,0
APP_00232,Services,21,2058242,21034,1313462,833,0,0.14,1842649,Average,0
APP_00233,Retail,14,7704776,127708,4435683,773,3,0.57,6633286,Average,0
APP_00234,Retail,5,10409551,158864,5822968,661,0,0.69,5969938,Good,0
APP_00235,Manufacturing,2,17589239,286678,3783184,598,3,0.47,2411869,Good,0
APP_00236,Retail,19,33769285,447920,20990321,674,3,0.64,13259448,Good,0
APP_00237,Services,22,26028279,347184,16818337,879,0,0.1,9077965,Average,0
APP_00238,Services,28,4330121,71141,1726887,660,0,0.6,1674637,Good,0
APP_00239,Retail,29,24147205,373101,5546567,679,0,0.37,7224878,Good,0
APP_00240,Trading,11,42928797,457128,29621269,678,0,0.59,18182672,Good,0
APP_00241,Manufacturing,7,39891628,556960,9051894,725,4,0.42,8344290,Good,0
APP_00242,Retail,13,12237532,133529,8496203,641,3,0.76,4261398,Average,0
APP_00243,Retail,15,40480720,541023,24772336,623,3,0.4,15384239,Good,0
APP_00244,Manufacturing,12,9326233,102672,6061216,560,1,0.63,7144173,Good,0
APP_00245,Retail,10,9749677,132928,7292487,745,3,0.61,9049839,Good,0
APP_00246,Trading,17,32207048,381662,12142843,678,0,0.17,10920893,Poor,0
APP_00247,Manufacturing,25,45268534,685336,10883946,754,3,0.64,8439206,Good,0
APP_00248,Tech,12,6965377,80347,3274242,616,3,0.83,3048270,Good,0
APP_00249,Services,25,11069315,128493,5706094,523,3,0.14,7200558,Poor,1
APP_00250,Retail,10,22822619,262252,4656413,654,2,0.43,3777363,Average,0
APP_00251,Trading,16,9504471,157460,4489921,569,4,0.28,6633643,Good,0
APP_00252,Tech,26,33768890,340183,25508425,692,2,0.23,13349887,Average,0
APP_00253,Retail,10,41122564,628997,17363517,602,3,0.9,18151492,Good,0
APP_00254,Tech,17,45648268,749674,30316079,421,4,0.22,31944400,Good,0
APP_00255,Retail,27,45271670,543426,17266612,571,0,0.51,20329490,Good,0
APP_00256,Tech,19,39120544,515239,11091379,587,2,0.22,14604650,Good,0
APP_00257,Manufacturing,3,23326747,252801,9225585,631,4,0.22,12478136,Average,0
APP_00258,Services,27,14263700,190078,5877734,794,3,0.13,7322833,Good,0
APP_00259,Manufacturing,24,44062003,538577,9723459,559,3,0.79,10586236,Good,0
APP_00260,Services,1,1409245,20690,608687,652,2,0.83,524851,Average,1
APP_00261,Services,18,26080123,397182,17179411,705,0,0.15,8644127,Average,0
APP_00262,Services,6,26474082,319524,13402755,658,4,0.84,6957585,Good,0
APP_00263,Services,3,22114133,281444,12815725,758,0,0.32,9108199,Poor,0
APP_00264,Services,19,21744167,361433,5520567,698,2,0.69,7365234,Average,0
APP_00265,Retail,8,14663844,222637,10052210,684,0,0.68,7844085,Average,0
APP_00266,Services,3,10186599,94310,6977220,717,4,0.66,3531092,Good,0
APP_00267,Trading,8,15775664,197277,10675538,632,1,0.67,12456798,Good,0
APP_00268,Services,8,48883190,785890,21658265,658,2,0.12,23461477,Average,0
APP_00269,Manufacturing,21,10890284,145520,4516074,564,0,0.68,6173172,Good,0
APP_00270,Tech,20,46637503,593181,22288231,683,3,0.34,17607036,Good,0
APP_00271,Services,23,8682535,91992,4324052,580,1,0.68,3336209,Good,0
APP_00272,Manufacturing,26,8087676,70554,2957677,609,0,0.15,3961330,Good,0
APP_00273,Tech,25,20215903,221746,5279088,515,2,0.79,5658174,Poor,1
APP_00274,Retail,19,16361936,187795,12464403,568,2,0.17,14795486,Good,0
APP_00275,Tech,27,2641912,37512,535298,702,4,0.25,416697,Good,0
APP_00276,Manufacturing,9,29089907,431942,17060925,568,1,0.18,17036541,Good,0
APP_00277,Services,15,7382799,74374,3109814,599,0,0.25,3271740,Good,0
APP_00278,Manufacturing,9,45116869,553539,32849323,635,0,0.74,41193807,Good,1
APP_00279,Tech,18,12188962,133634,7153696,804,0,0.81,5632888,Good,1
APP_00280,Manufacturing,22,3787093,47839,1365457,573,4,0.65,1013017,Poor,1
APP_00281,Manufacturing,4,49230509,579952,24404486,727,3,0.11,23528246,Poor,0
APP_00282,Manufacturing,20,8204694,121292,5445889,409,3,0.88,3406677,Good,0
APP_00283,Manufacturing,2,42866372,452091,9024718,748,1,0.28,10304964,Good,0
APP_00284,Retail,4,6972652,114711,4938286,575,0,0.54,6566750,Average,0
APP_00285,Services,4,38425479,341248,12947127,639,3,0.48,7222482,Poor,0
APP_00286,Retail,24,30362495,417726,17815336,485,3,0.72,12559477,Average,1
APP_00287,Trading,25,15293752,227025,8365361,682,3,0.41,9822023,Good,0
APP_00288,Tech,6,40247799,578555,21061182,613,0,0.65,25064840,Poor,1
APP_00289,Services,24,40335189,475834,15373758,580,1,0.64,8858962,Good,0
APP_00290,Trading,14,36719181,438431,8311018,775,4,0.49,11616099,Average,0
APP_00291,Services,13,43599658,505704,25962212,678,3,0.9,31459004,Poor,1
APP_00292,Tech,11,25576068,306272,14223786,568,1,0.88,9815943,Average,0
APP_00293,Retail,2,46933552,766634,24071082,641,3,0.3,27455841,Average,0
APP_00294,Tech,24,26278005,406259,14763997,525,4,0.11,12653178,Poor,1
APP_00295,Services,21,14784503,222762,4534893,788,4,0.3,4093939,Average,0
APP_00296,Trading,4,33291816,320102,26435427,656,1,0.89,14404962,Average,1
APP_00297,Services,20,18817940,161931,4415098,479,0,0.73,3315744,Good,0
APP_00298,Trading,4,15625440,161514,4921322,607,4,0.88,2596091,Average,0
APP_00299,Manufacturing,5,20981913,342061,6061816,541,3,0.57,5677582,Good,0
APP_00300,Tech,26,5851826,55778,2680497,720,1,0.81,2464577,Average,0
APP_00301,Tech,15,7179155,72058,2535573,724,3,0.61,2191633,Good,0
APP_00302,Retail,1,14080994,128495,9801048,487,4,0.68,12485616,Good,1
APP_00303,Trading,25,44174032,566566,16321574,599,4,0.71,8160976,Good,0
APP_00304,Retail,25,19089321,190982,6149567,641,4,0.34,4491746,Good,0
APP_00305,Tech,28,24309061,350805,14205762,798,1,0.34,11723946,Average,0
APP_00306,Services,14,2031064,23203,1505351,601,3,0.89,1888083,Good,1
APP_00307,Manufacturing,16,1920858,22641,1252971,475,1,0.49,1079697,Poor,1
APP_00308,Manufacturing,27,39177396,509336,26187703,663,0,0.24,38559297,Good,0
APP_00309,Services,6,30974646,290419,22000763,629,0,0.26,18598167,Good,0
APP_00310,Services,17,36177259,503784,16684754,643,0,0.35,16392777,Good,0
APP_00311,Manufacturing,19,4456778,68300,921888,498,2,0.5,1111975,Good,0
APP_00312,Retail,1,14525093,135385,11284661,614,2,0.86,8200872,Average,1
APP_00313,Tech,4,625355,6722,452036,755,2,0.78,669874,Average,1
APP_00314,Manufacturing,12,27913629,323491,8788790,711,3,0.6,7330289,Average,0
APP_00315,Retail,22,11279706,127447,2823893,773,2,0.15,2467859,Poor,0
APP_00316,Tech,22,31776622,295573,21245771,533,4,0.18,16526081,Good,1
APP_00317,Manufacturing,25,49809063,443094,25463418,626,4,0.25,27556083,Good,0
APP_00318,Tech,7,9983017,126184,6430029,557,1,0.33,7437975,Poor,0
APP_00319,Services,29,16164622,262866,6116280,669,3,0.17,6442761,Average,0
APP_00320,Services,6,4335598,56495,2039516,568,0,0.52,1528666,Good,0
APP_00321,Services,26,12883028,208784,8269887,628,3,0.66,9759391,Good,0
APP_00322,Retail,4,13821008,177598,10556360,677,1,0.42,14143428,Good,0
APP_00323,Manufacturing,10,36233873,526244,14356831,685,3,0.45,17564833,Good,0
APP_00324,Services,25,33343945,472613,10750581,679,0,0.75,5913019,Poor,0
APP_00325,Manufacturing,25,1308301,13854,455989,643,2,0.27,500263,Good,0
APP_00326,Trading,18,35784517,412501,17752720,578,4,0.73,15932145,Good,0
APP_00327,Services,14,44505127,396265,18810882,665,0,0.37,25680490,Poor,0
APP_00328,Manufacturing,18,26858327,400048,12000399,726,1,0.3,14466010,Good,0
APP_00329,Tech,11,12256878,108678,8516641,602,0,0.26,9285120,Good,0
APP_00330,Tech,28,42741026,502089,25349883,472,0,0.84,15511102,Good,1
APP_00331,Trading,28,34728244,505520,21960034,629,3,0.33,17783386,Good,0
APP_00332,Manufacturing,21,35529052,400823,24768487,776,0,0.76,17735725,Average,1
APP_00333,Tech,14,46348553,530505,16819855,576,4,0.41,17717550,Good,0
APP_00334,Manufacturing,22,22257353,349510,9055823,540,2,0.43,4647910,Good,0
APP_00335,Retail,23,32189356,461898,13869819,373,4,0.67,17093179,Good,1
APP_00336,Manufacturing,17,34648989,336599,25450143,608,1,0.38,15406129,Good,0
APP_00337,Trading,28,47647213,463341,16497260,563,3,0.56,24518997,Good,0
APP_00338,Manufacturing,19,31009250,438375,19265664,527,0,0.26,15943341,Good,0
APP_00339,Trading,29,5886159,95410,3637507,725,1,0.51,2234468,Average,0
APP_00340,Trading,17,47161824,400138,31865115,649,0,0.64,28937318,Average,0
APP_00341,Trading,28,28689839,241467,18191257,774,0,0.8,12796393,Good,0
APP_00342,Manufacturing,7,45862588,452297,32699310,663,4,0.49,16786769,Good,0
